"year","state","state_fips","RECategory","population","GEOID"
2020,"AK","02","American Indian/Alaska Native",17200,"02"
2020,"AK","02","Asian or Pacific Islander",7663,"02"
2020,"AK","02","Black",4272,"02"
2020,"AK","02","Hispanic",6564,"02"
2020,"AK","02","White",44037,"02"
2020,"AL","01","American Indian/Alaska Native",2776,"01"
2020,"AL","01","Asian or Pacific Islander",8961,"01"
2020,"AL","01","Black",155635,"01"
2020,"AL","01","Hispanic",46390,"01"
2020,"AL","01","White",311871,"01"
2020,"AR","05","American Indian/Alaska Native",2723,"05"
2020,"AR","05","Asian or Pacific Islander",7896,"05"
2020,"AR","05","Black",61259,"05"
2020,"AR","05","Hispanic",44548,"05"
2020,"AR","05","White",212969,"05"
2020,"AZ","04","American Indian/Alaska Native",39040,"04"
2020,"AZ","04","Asian or Pacific Islander",28105,"04"
2020,"AZ","04","Black",47901,"04"
2020,"AZ","04","Hispanic",324547,"04"
2020,"AZ","04","White",318117,"04"
2020,"CA","06","American Indian/Alaska Native",20234,"06"
2020,"CA","06","Asian or Pacific Islander",559021,"06"
2020,"CA","06","Black",253428,"06"
2020,"CA","06","Hispanic",2178429,"06"
2020,"CA","06","White",1138539,"06"
2020,"CO","08","American Indian/Alaska Native",4094,"08"
2020,"CO","08","Asian or Pacific Islander",23325,"08"
2020,"CO","08","Black",33104,"08"
2020,"CO","08","Hispanic",189532,"08"
2020,"CO","08","White",345912,"08"
2020,"CT","09","American Indian/Alaska Native",886,"09"
2020,"CT","09","Asian or Pacific Islander",19574,"09"
2020,"CT","09","Black",43774,"09"
2020,"CT","09","Hispanic",89264,"09"
2020,"CT","09","White",209152,"09"
2020,"DC","11","American Indian/Alaska Native",96,"11"
2020,"DC","11","Asian or Pacific Islander",1142,"11"
2020,"DC","11","Black",28432,"11"
2020,"DC","11","Hispanic",7478,"11"
2020,"DC","11","White",8867,"11"
2020,"DE","10","American Indian/Alaska Native",308,"10"
2020,"DE","10","Asian or Pacific Islander",3959,"10"
2020,"DE","10","Black",27550,"10"
2020,"DE","10","Hispanic",16948,"10"
2020,"DE","10","White",48995,"10"
2020,"FL","12","American Indian/Alaska Native",5339,"12"
2020,"FL","12","Asian or Pacific Islander",66960,"12"
2020,"FL","12","Black",415919,"12"
2020,"FL","12","Hispanic",630024,"12"
2020,"FL","12","White",871183,"12"
2020,"GA","13","American Indian/Alaska Native",2725,"13"
2020,"GA","13","Asian or Pacific Islander",54186,"13"
2020,"GA","13","Black",425984,"13"
2020,"GA","13","Hispanic",186689,"13"
2020,"GA","13","White",541601,"13"
2020,"HI","15","American Indian/Alaska Native",239,"15"
2020,"HI","15","Asian or Pacific Islander",97356,"15"
2020,"HI","15","Black",3869,"15"
2020,"HI","15","Hispanic",17297,"15"
2020,"HI","15","White",13646,"15"
2020,"IA","19","American Indian/Alaska Native",1297,"19"
2020,"IA","19","Asian or Pacific Islander",10409,"19"
2020,"IA","19","Black",23292,"19"
2020,"IA","19","Hispanic",37707,"19"
2020,"IA","19","White",273577,"19"
2020,"ID","16","American Indian/Alaska Native",2663,"16"
2020,"ID","16","Asian or Pacific Islander",3654,"16"
2020,"ID","16","Black",3186,"16"
2020,"ID","16","Hispanic",40347,"16"
2020,"ID","16","White",169805,"16"
2020,"IL","17","American Indian/Alaska Native",2667,"17"
2020,"IL","17","Asian or Pacific Islander",76274,"17"
2020,"IL","17","Black",217465,"17"
2020,"IL","17","Hispanic",358846,"17"
2020,"IL","17","White",702079,"17"
2020,"IN","18","American Indian/Alaska Native",1725,"18"
2020,"IN","18","Asian or Pacific Islander",20880,"18"
2020,"IN","18","Black",96591,"18"
2020,"IN","18","Hispanic",97241,"18"
2020,"IN","18","White",532122,"18"
2020,"KS","20","American Indian/Alaska Native",3177,"20"
2020,"KS","20","Asian or Pacific Islander",10949,"20"
2020,"KS","20","Black",26864,"20"
2020,"KS","20","Hispanic",65880,"20"
2020,"KS","20","White",225661,"20"
2020,"KY","21","American Indian/Alaska Native",720,"21"
2020,"KY","21","Asian or Pacific Islander",9824,"21"
2020,"KY","21","Black",51623,"21"
2020,"KY","21","Hispanic",34547,"21"
2020,"KY","21","White",377149,"21"
2020,"LA","22","American Indian/Alaska Native",3610,"22"
2020,"LA","22","Asian or Pacific Islander",9575,"22"
2020,"LA","22","Black",188576,"22"
2020,"LA","22","Hispanic",40849,"22"
2020,"LA","22","White",260018,"22"
2020,"MA","25","American Indian/Alaska Native",1560,"25"
2020,"MA","25","Asian or Pacific Islander",50466,"25"
2020,"MA","25","Black",64289,"25"
2020,"MA","25","Hispanic",119913,"25"
2020,"MA","25","White",420712,"25"
2020,"MD","24","American Indian/Alaska Native",1813,"24"
2020,"MD","24","Asian or Pacific Islander",45979,"24"
2020,"MD","24","Black",210036,"24"
2020,"MD","24","Hispanic",104932,"24"
2020,"MD","24","White",277321,"24"
2020,"ME","23","American Indian/Alaska Native",1150,"23"
2020,"ME","23","Asian or Pacific Islander",2202,"23"
2020,"ME","23","Black",4637,"23"
2020,"ME","23","Hispanic",3944,"23"
2020,"ME","23","White",110402,"23"
2020,"MI","26","American Indian/Alaska Native",7939,"26"
2020,"MI","26","Asian or Pacific Islander",40094,"26"
2020,"MI","26","Black",177189,"26"
2020,"MI","26","Hispanic",92469,"26"
2020,"MI","26","White",710004,"26"
2020,"MN","27","American Indian/Alaska Native",9642,"27"
2020,"MN","27","Asian or Pacific Islander",40920,"27"
2020,"MN","27","Black",71302,"27"
2020,"MN","27","Hispanic",60517,"27"
2020,"MN","27","White",434605,"27"
2020,"MO","29","American Indian/Alaska Native",3337,"29"
2020,"MO","29","Asian or Pacific Islander",17001,"29"
2020,"MO","29","Black",96601,"29"
2020,"MO","29","Hispanic",49206,"29"
2020,"MO","29","White",481161,"29"
2020,"MS","28","American Indian/Alaska Native",2153,"28"
2020,"MS","28","Asian or Pacific Islander",3893,"28"
2020,"MS","28","Black",142713,"28"
2020,"MS","28","Hispanic",16609,"28"
2020,"MS","28","White",167163,"28"
2020,"MT","30","American Indian/Alaska Native",11230,"30"
2020,"MT","30","Asian or Pacific Islander",1273,"30"
2020,"MT","30","Black",1550,"30"
2020,"MT","30","Hispanic",6430,"30"
2020,"MT","30","White",88459,"30"
2020,"NC","37","American Indian/Alaska Native",12842,"37"
2020,"NC","37","Asian or Pacific Islander",40348,"37"
2020,"NC","37","Black",262787,"37"
2020,"NC","37","Hispanic",191349,"37"
2020,"NC","37","White",586496,"37"
2020,"ND","38","American Indian/Alaska Native",6494,"38"
2020,"ND","38","Asian or Pacific Islander",1316,"38"
2020,"ND","38","Black",3712,"38"
2020,"ND","38","Hispanic",4768,"38"
2020,"ND","38","White",63887,"38"
2020,"NE","31","American Indian/Alaska Native",2596,"31"
2020,"NE","31","Asian or Pacific Islander",6558,"31"
2020,"NE","31","Black",16720,"31"
2020,"NE","31","Hispanic",40018,"31"
2020,"NE","31","White",157474,"31"
2020,"NH","33","American Indian/Alaska Native",327,"33"
2020,"NH","33","Asian or Pacific Islander",4810,"33"
2020,"NH","33","Black",3452,"33"
2020,"NH","33","Hispanic",8790,"33"
2020,"NH","33","White",109445,"33"
2020,"NJ","34","American Indian/Alaska Native",2208,"34"
2020,"NJ","34","Asian or Pacific Islander",98797,"34"
2020,"NJ","34","Black",137154,"34"
2020,"NJ","34","Hispanic",257932,"34"
2020,"NJ","34","White",464310,"34"
2020,"NM","35","American Indian/Alaska Native",26086,"35"
2020,"NM","35","Asian or Pacific Islander",3501,"35"
