"Organization","City","State","Amount","Status","name"
"ABE BROWN MINISTRIES, INC","TAMPA","FL"," $61,772 ","Subaward","Florida"
"ACIVILATE, INC.","ATLANTA","GA"," $34,045 ","Subaward","Georgia"
"ACTIVATING CHANGE, INC.","WILMINGTON","DE"," $84,318 ","Subaward","Delaware"
"ACTIVATING CHANGE, INC.","WILMINGTON","DE"," $955,545 ","Subaward","Delaware"
"ACTIVATING CHANGE, INC.","WILMINGTON","DE"," $485,062 ","Subaward","Delaware"
"ACTIVATING CHANGE, INC.","WILMINGTON","DE"," $247,144 ","Subaward","Delaware"
"ACTIVATING CHANGE, INC.","BROOKLYN","NY"," $307,144 ","Subaward","New York"
"ACTIVATING CHANGE, INC.","WILMINGTON","DE"," $70,582 ","Subaward","Delaware"
"ADMINISTRATION, ALASKA DEPARTMENT OF","JUNEAU","AK"," $34,640 ","Subaward","Alaska"
"ADVOCATES FOR HUMAN POTENTIAL INC","SUDBURY","MA"," $125,000 ","Subaward","Massachusetts"
"ADVOCATES FOR HUMAN POTENTIAL INC","SUDBURY","MA"," $125,000 ","Subaward","Massachusetts"
"AEQUITAS","WASHINGTON","DC"," $60,000 ","Subaward",NA
"ALABAMA APPLESEED CENTER FOR LAW JUSTICE INC","MONTGOMERY","AL"," $190,494 ","Subaward","Alabama"
"ALABAMA CASA NETWORK INC","OPELIKA","AL"," $34,380 ","Subaward","Alabama"
"ALABAMA CASA NETWORK INC","MONTGOMERY","AL"," $116,005 ","Subaward","Alabama"
"ALLIANCE FOR CRIMINAL JUSTICE INNOVATION, LLC","SEDALIA","CO"," $350,000 ","Subaward","Colorado"
"ALLIANCE OF CONCERNED MEN (ACM)","WASHINGTON","DC"," $80,000 ","Subaward",NA
"ALLIANCE, CITY OF","ALLIANCE","NE"," $150,000 ","Subaward","Nebraska"
"AMERICAN BAR ASSOCIATION","WASHINGTON","DC"," $175,000 ","Subaward",NA
"AMERICAN JAIL ASSOCIATION","HAGERSTOWN","MD"," $59,993 ","Subaward","Maryland"
"AMERICAN PROBATION AND PAROLE ASSOCIATION, INC.","LEXINGTON","KY"," $52,000 ","Subaward","Kentucky"
"AMERICAN PROBATION AND PAROLE ASSOCIATION, INC.","LEXINGTON","KY"," $52,000 ","Subaward","Kentucky"
"AMERICAN PROBATION AND PAROLE ASSOCIATION, INC.","LEXINGTON","KY"," $29,603 ","Subaward","Kentucky"
"ANNE ARUNDEL COUNTY CASA, INC.","ANNAPOLIS","MD"," $41,700 ","Subaward","Maryland"
"APPLIED RESEARCH SERVICES, INC.","ATLANTA","GA"," $499,000 ","Subaward","Georgia"
"ARIZONA CRIME VICTIM RIGHTS LAW GROUP, INC","SCOTTSDALE","AZ"," $55,000 ","Subaward","Arizona"
"ASIAN HEALTH SERVICES","OAKLAND","CA"," $40,000 ","Subaward","California"
"ASIAN PACIFIC INSTITUTE ON GENDER-BASED VIOLENCE","OAKLAND","CA"," $82,500 ","Subaward","California"
"ASIAN PACIFIC INSTITUTE ON GENDER-BASED VIOLENCE","OAKLAND","CA"," $62,250 ","Subaward","California"
"ASSOCIATION OF PROSECUTING ATTORNEYS, INC","LEESBURG","VA"," $81,843 ","Subaward","Virginia"
"ASSOCIATION OF PROSECUTING ATTORNEYS, INC","LEESBURG","VA"," $80,000 ","Subaward","Virginia"
"ASSOCIATION OF PROSECUTING ATTORNEYS, INC.","LEESBURG","VA"," $411,000 ","Subaward","Virginia"
"ATLANTA COURT APPOINTED SPECIAL ADVOCATES INC","ATLANTA","GA"," $69,130 ","Subaward","Georgia"
"ATTORNEY GENERAL'S OFFICE OF SOUTH DAKOTA","PIERRE","SD"," $130,257 ","Subaward","South Dakota"
"BIG COUNTRY COURT APPOINTED SPECIAL ADVOCATES INC","ABILENE","TX"," $41,000 ","Subaward","Texas"
"BLAKELY, CITY OF","BLAKELY","GA"," $142,560 ","Subaward","Georgia"
"BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA","OMAHA","NE"," $150,000 ","Subaward","Nebraska"
"BRIGHTSIDE CHILD & FAMILY ADVOCACY INC","SAVANNAH","GA"," $70,679 ","Subaward","Georgia"
"BRIGHTSIDE CHILD & FAMILY ADVOCACY INC","SAVANNAH","GA"," $100,000 ","Subaward","Georgia"
"BURKE COUNTY OF","WAYNESBORO","GA"," $50,000 ","Subaward","Georgia"
"CALIFORNIA PARTNERSHIP FOR SAFE COMMUNITIES","OAKLAND","CA"," $300,000 ","Subaward","California"
"CARTERS CREW","LITTLE ROCK","AR"," $60,000 ","Subaward","Arkansas"
"CASA - CITIZENS ASSISTING AND SHELTERING THE ABUSED, INC","HAGERSTOWN","MD"," $110,000 ","Subaward","Maryland"
"CASA CORRIDOR OF EAST TENNESSEE","ATHENS","TN"," $50,100 ","Subaward","Tennessee"
"CASA CORRIDOR OF EAST TENNESSEE","ATHENS","TN"," $68,145 ","Subaward","Tennessee"
"CASA DE ESPERANZA","SAINT PAUL","MN"," $600,000 ","Subaward","Minnesota"
"CASA FOR CHILDREN OF ESSEX COUNTY, INC","NEWARK","NJ"," $49,000 ","Subaward","New Jersey"
"CASA FOR KIDS, INC.","CHARLOTTE","MI"," $40,760 ","Subaward","Michigan"
"CASA FOR KIDS, INC.","CHARLOTTE","MI"," $31,046 ","Subaward","Michigan"
"CASA MISSISSIPPI, INC.","BRANDON","MS"," $48,939 ","Subaward","Mississippi"
"CASA MISSISSIPPI, INC.","BRANDON","MS"," $51,700 ","Subaward","Mississippi"
"CASA MISSISSIPPI, INC.","BRANDON","MS"," $63,400 ","Subaward","Mississippi"
"CASA OF BALTIMORE COUNTY, INC.","TOWSON","MD"," $42,300 ","Subaward","Maryland"
"CASA OF BALTIMORE INC","BALTIMORE","MD"," $52,610 ","Subaward","Maryland"
"CASA OF BELL AND CORYELL COUNTIES","BELTON","TX"," $54,770 ","Subaward","Texas"
"CASA OF HENRY COUNTY, INC.","MCDONOUGH","GA"," $40,000 ","Subaward","Georgia"
"CASA OF HINDS COUNTY","RIDGELAND","MS"," $115,828 ","Subaward","Mississippi"
"CASA OF JACKSON COUNTY, INC.","MEDFORD","OR"," $38,765 ","Subaward","Oregon"
"CASA OF JEFFERSON COUNTY","BIRMINGHAM","AL"," $37,200 ","Subaward","Alabama"
"CASA OF JOHNSON & WYANDOTTE COUNTIES INC","MERRIAM","KS"," $34,000 ","Subaward","Kansas"
"CASA OF JOHNSON & WYANDOTTE COUNTIES INC","MISSION","KS"," $100,000 ","Subaward","Kansas"
"CASA OF LAFAYETTE COUNTY","OXFORD","MS"," $41,600 ","Subaward","Mississippi"
"CASA OF LEXINGTON, INC","LEXINGTON","KY"," $64,000 ","Subaward","Kentucky"
"CASA OF LOS ANGELES","MONTEREY PARK","CA"," $46,900 ","Subaward","California"
"CASA OF MARION COUNTY","CARLYLE","IL"," $44,000 ","Subaward","Illinois"
